----Intracellular Constraint----
DAGK_hs_16_0_18_0reverse,atp_c+dag_hs_16_0_18_0_c--> pa_hs_16_0_18_0_c+h_c+adp_c,1000.0
LPS2_16_0_18_0,h2o_c+dag_hs_16_0_18_0_c--> mag_hs_16_0_c+h_c+ocdca_c,50.0
DAGK_hs_16_0_18_1,pa_hs_16_0_18_1_c+h_c+adp_c--> atp_c+dag_hs_16_0_18_1_c,1000.0
DAGK_hs_16_0_18_1reverse,atp_c+dag_hs_16_0_18_1_c--> pa_hs_16_0_18_1_c+h_c+adp_c,1000.0
DAGK_hs_16_0_18_2,h_c+adp_c+pa_hs_16_0_18_2_c--> atp_c+dag_hs_16_0_18_2_c,1000.0
DAGK_hs_16_0_18_2reverse,atp_c+dag_hs_16_0_18_2_c--> h_c+adp_c+pa_hs_16_0_18_2_c,1000.0
DAGK_hs_16_0_20_4,pa_hs_16_0_20_4_c+h_c+adp_c--> atp_c+dag_hs_16_0_20_4_c,1000.0
DAGK_hs_16_0_20_4reverse,atp_c+dag_hs_16_0_20_4_c--> pa_hs_16_0_20_4_c+h_c+adp_c,1000.0
DAGK_hs_18_0_18_0,h_c+adp_c+pa_hs_18_0_18_0_c--> dag_hs_18_0_18_0_c+atp_c,1000.0
DAGK_hs_18_0_18_0reverse,dag_hs_18_0_18_0_c+atp_c--> h_c+adp_c+pa_hs_18_0_18_0_c,1000.0
DAGK_hs_18_0_18_1,h_c+adp_c+pa_hs_18_0_18_1_c--> dag_hs_18_0_18_1_c+atp_c,1000.0
DAGK_hs_18_0_18_1reverse,dag_hs_18_0_18_1_c+atp_c--> h_c+adp_c+pa_hs_18_0_18_1_c,1000.0
DAGK_hs_18_0_18_2,h_c+adp_c+pa_hs_18_0_18_2_c--> dag_hs_18_0_18_2_c+atp_c,1000.0
DAGK_hs_18_0_18_2reverse,dag_hs_18_0_18_2_c+atp_c--> h_c+adp_c+pa_hs_18_0_18_2_c,1000.0
DAGK_hs_18_0_20_4,h_c+adp_c+pa_hs_18_0_20_4_c--> atp_c+dag_hs_18_0_20_4_c,1000.0
DAGK_hs_18_0_20_4reverse,atp_c+dag_hs_18_0_20_4_c--> h_c+adp_c+pa_hs_18_0_20_4_c,1000.0
DAGK_hs_18_1_18_1,pa_hs_18_1_18_1_c+h_c+adp_c--> dag_hs_18_1_18_1_c+atp_c,1000.0
DAGK_hs_18_1_18_1reverse,dag_hs_18_1_18_1_c+atp_c--> pa_hs_18_1_18_1_c+h_c+adp_c,1000.0
DAGK_hs_18_1_18_2,pa_hs_18_1_18_2_c+h_c+adp_c--> atp_c+dag_hs_18_1_18_2_c,1000.0
DAGK_hs_18_1_18_2reverse,atp_c+dag_hs_18_1_18_2_c--> pa_hs_18_1_18_2_c+h_c+adp_c,1000.0
DAGK_hs_18_1_20_4,pa_hs_18_1_20_4_c+h_c+adp_c--> atp_c+dag_hs_18_1_20_4_c,1000.0
DAGK_hs_18_1_20_4reverse,atp_c+dag_hs_18_1_20_4_c--> pa_hs_18_1_20_4_c+h_c+adp_c,1000.0
DAGK_hs_18_2_18_2,pa_hs_18_2_18_2_c+h_c+adp_c--> atp_c+dag_hs_18_2_18_2_c,1000.0
DAGK_hs_18_2_18_2reverse,atp_c+dag_hs_18_2_18_2_c--> pa_hs_18_2_18_2_c+h_c+adp_c,1000.0
DAGK_hs_18_2_20_4,pa_hs_18_2_20_4_c+h_c+adp_c--> atp_c+dag_hs_18_2_20_4_c,1000.0
DAGK_hs_18_2_20_4reverse,atp_c+dag_hs_18_2_20_4_c--> pa_hs_18_2_20_4_c+h_c+adp_c,1000.0
DAGK_hs_20_4_20_4,pa_hs_20_4_20_4_c+h_c+adp_c--> dag_hs_20_4_20_4_c+atp_c,1000.0
DAGK_hs_20_4_20_4reverse,dag_hs_20_4_20_4_c+atp_c--> pa_hs_20_4_20_4_c+h_c+adp_c,1000.0
----Expanded Phospholipid metabolism----
----Expanded Glycerophospholipid metabolism----
CDS_16_0_16_0,ctp_c+pa_hs_16_0_16_0_c+h_c--> ppi_c+cdpdag_hs_16_0_16_0_c,50.0
CDIPTr_16_0_16_0,inost_c+cdpdag_hs_16_0_16_0_c--> cmp_c+h_c+pail_hs_16_0_16_0_c,50.0
PIK4_16_0_16_0,atp_c+pail_hs_16_0_16_0_c--> pail4p_hs_16_0_16_0_c+h_c+adp_c,50.0
PI4P3K_16_0_16_0,pail4p_hs_16_0_16_0_c+atp_c--> h_c+adp_c+pail34p_hs_16_0_16_0_c,50.0
PI34P5K_16_0_16_0,atp_c+pail34p_hs_16_0_16_0_c--> pail345p_hs_16_0_16_0_c+h_c+adp_c,50.0
PI345P3P_16_0_16_0,h2o_c+pail345p_hs_16_0_16_0_c--> pail45p_hs_16_0_16_0_c+pi_c,50.0
PI45PLC_16_0_16_0,pail45p_hs_16_0_16_0_c+h2o_c--> dag_hs_16_0_16_0_c+h_c+mi145p_c,50.0
CDS_16_0_18_0,pa_hs_16_0_18_0_c+ctp_c+h_c--> ppi_c+cdpdag_hs_16_0_18_0_c,50.0
CDIPTr_16_0_18_0,inost_c+cdpdag_hs_16_0_18_0_c--> cmp_c+pail_hs_16_0_18_0_c+h_c,50.0
PIK4_16_0_18_0,atp_c+pail_hs_16_0_18_0_c--> h_c+adp_c+pail4p_hs_16_0_18_0_c,50.0
PI4P3K_16_0_18_0,atp_c+pail4p_hs_16_0_18_0_c--> h_c+pail34p_hs_16_0_18_0_c+adp_c,50.0
PI34P5K_16_0_18_0,atp_c+pail34p_hs_16_0_18_0_c--> pail345p_hs_16_0_18_0_c+h_c+adp_c,50.0
PI345P3P_16_0_18_0,pail345p_hs_16_0_18_0_c+h2o_c--> pi_c+pail45p_hs_16_0_18_0_c,50.0
PI45PLC_16_0_18_0,h2o_c+pail45p_hs_16_0_18_0_c--> h_c+dag_hs_16_0_18_0_c+mi145p_c,50.0
