1 sink_xan_c|Intracellular Constraint::xan_c --> []
360 ATPS4m|Oxidative Phosphorylation::pi_m+4.0*h_c+adp_m --> atp_m+h2o_m+3.0*h_m
361 BALAtmr|Transport_ Mitochondrial::ala_B_c --> ala_B_m
362 BALAtmr|Transport_ Mitochondrial_reverse::ala_B_m --> ala_B_c
363 BHMT|Glycine_ Serine_ and Threonine Metabolism::hcys_L_c+glyb_c --> dmgly_c+met_L_c
364 BILIRED|Heme Degradation::biliverd_c+h_c+nadph_c --> bilirub_c+nadp_c
365 BILIRUBt2|Transport_ Extracellular::bilirub_e+hco3_c --> bilirub_c+hco3_e
366 BILIRUBt2|Transport_ Extracellular_reverse::bilirub_c+hco3_e --> bilirub_e+hco3_c
367 BPNT|Nucleotides::pap_c+h2o_c --> pi_c+amp_c
368 C160CPT1|Carnitine shuttle::pmtcoa_c+crn_c --> pmtcrn_c+coa_c
369 C160CPT2|Carnitine shuttle::pmtcrn_m+coa_m --> pmtcoa_m+crn_m
370 C160CRNt|Carnitine shuttle::pmtcrn_c --> pmtcrn_m
371 C180CPT1|Carnitine shuttle::stcoa_c+crn_c --> coa_c+stcrn_c
372 C180CPT2|Carnitine shuttle::stcrn_m+coa_m --> stcoa_m+crn_m
373 C180CRNt|Carnitine shuttle::stcrn_c --> stcrn_m
374 C181CPT1|Carnitine shuttle::odecoa_c+crn_c --> coa_c+odecrn_c
375 C181CPT2|Carnitine shuttle::coa_m+odecrn_m --> odecoa_m+crn_m
376 C181CRNt|Carnitine shuttle::odecrn_c --> odecrn_m
377 C204CPT1|Carnitine shuttle::arachdcoa_c+crn_c --> coa_c+arachdcrn_c
378 C204CPT2|Carnitine shuttle::arachdcrn_m+coa_m --> arachdcoa_m+crn_m
379 C204CRNt|Carnitine shuttle::arachdcrn_c --> arachdcrn_m
380 CAATPS|Transport_ Extracellular::h2o_c+atp_c+2.0*ca2_c --> 2.0*ca2_e+pi_c+h_e+adp_c
381 CATm|ROS Detoxification::2.0*h2o2_m --> o2_m+2.0*h2o_m
382 CATp|Miscellaneous::2.0*h2o2_x --> o2_x+2.0*h2o_x
383 CBPSam|Glutamate metabolism::2.0*atp_m+nh4_m+hco3_m --> cbp_m+pi_m+2.0*h_m+2.0*adp_m
384 CGMPt|Transport_ Extracellular::35cgmp_c+h2o_c+atp_c --> 35cgmp_e+pi_c+h_c+adp_c
385 CHLPCTD|Glycerophospholipid Metabolism::cholp_c+ctp_c+h_c --> ppi_c+cdpchol_c
386 CHOLt4|Transport_ Extracellular::na1_e+chol_e --> na1_c+chol_c
387 CHOLt4|Transport_ Extracellular_reverse::na1_c+chol_c --> na1_e+chol_e
388 CHOLtu|Transport_ Extracellular::chol_e --> chol_c
389 CHOLtu|Transport_ Extracellular_reverse::chol_c --> chol_e
390 CITRtm|Transport_ Mitochondrial::citr_L_m --> citr_L_c
391 CITRtm|Transport_ Mitochondrial_reverse::citr_L_c --> citr_L_m
392 CITt4_2|Transport_ Extracellular::2.0*na1_e+cit_e --> 2.0*na1_c+cit_c
393 CITt4_2|Transport_ Extracellular_reverse::2.0*na1_c+cit_c --> 2.0*na1_e+cit_e
394 CITt4_4|Transport_ Extracellular::4.0*na1_e+cit_e --> 4.0*na1_c+cit_c
395 CITt4_4|Transport_ Extracellular_reverse::4.0*na1_c+cit_c --> 4.0*na1_e+cit_e
396 CLOHtex2|Transport_ Extracellular::oh1_c+2.0*cl_e --> 2.0*cl_c+oh1_e
397 CLOHtex2|Transport_ Extracellular_reverse::2.0*cl_c+oh1_e --> oh1_c+2.0*cl_e
398 CO2t|Transport_ Extracellular::co2_e --> co2_c
399 CO2t|Transport_ Extracellular_reverse::co2_c --> co2_e
400 COt|Transport_ Extracellular::co_c --> co_e
401 COt|Transport_ Extracellular_reverse::co_e --> co_c
402 CPPPGO|Heme Biosynthesis::o2_c+2.0*h_c+cpppg3_c --> 2.0*h2o_c+pppg9_c+2.0*co2_c
403 CREATt4_2r|Transport_ Extracellular::2.0*na1_e+creat_e --> 2.0*na1_c+creat_c
404 CREATt4_2r|Transport_ Extracellular_reverse::2.0*na1_c+creat_c --> 2.0*na1_e+creat_e
405 CRNt|Transport_ Extracellular::crn_e --> crn_c
406 CRNt|Transport_ Extracellular_reverse::crn_c --> crn_e
407 CRNtim|Transport_ Mitochondrial::crn_m --> crn_c
408 CRNtuIR|Transport_ Extracellular::crn_e --> crn_c
409 CRNtuIR|Transport_ Extracellular_reverse::crn_c --> crn_e
410 CRNtuNa|Transport_ Extracellular::na1_e+crn_e --> na1_c+crn_c
411 CRNtuNa|Transport_ Extracellular_reverse::na1_c+crn_c --> na1_e+crn_e
412 CSNATr|Carnitine shuttle::accoa_c+crn_c --> coa_c+acrn_c
413 CSNATr|Carnitine shuttle_reverse::coa_c+acrn_c --> accoa_c+crn_c
414 CSm|Citric Acid Cycle::h2o_m+oaa_m+accoa_m --> coa_m+h_m+cit_m
415 CYANSTm|Cysteine Metabolism::cyan_m+tsul_m --> tcynt_m+h_m+so3_m
416 CYANt|Transport_ Extracellular::cyan_e --> cyan_c
417 CYANt|Transport_ Extracellular_reverse::cyan_c --> cyan_e
418 CYANtm|Transport_ Mitochondrial::cyan_c --> cyan_m
419 CYANtm|Transport_ Mitochondrial_reverse::cyan_m --> cyan_c
420 CYOOm2|Oxidative Phosphorylation::o2_m+4.0*focytC_m+8.0*h_m --> 2.0*h2o_m+4.0*h_c+4.0*ficytC_m
421 CYOR_u10m|Oxidative Phosphorylation::2.0*h_m+q10h2_m+2.0*ficytC_m --> 2.0*focytC_m+4.0*h_c+q10_m
422 CYSGLTH|Cysteine Metabolism::Lcystin_c+2.0*gthrd_c --> 2.0*cys_L_c+gthox_c
423 CYSGLTH|Cysteine Metabolism_reverse::2.0*cys_L_c+gthox_c --> Lcystin_c+2.0*gthrd_c
424 CYSTA|Cysteine Metabolism::cys_L_c+akg_c --> mercppyr_c+glu_L_c
425 CYSTA|Cysteine Metabolism_reverse::mercppyr_c+glu_L_c --> cys_L_c+akg_c
426 CYSTGLUex|Transport_ Extracellular::Lcystin_e+glu_L_c --> glu_L_e+Lcystin_c
427 CYTDt|Transport_ Extracellular::cytd_e --> cytd_c
428 CYTDt|Transport_ Extracellular_reverse::cytd_c --> cytd_e
429 CYTK1|Nucleotides::cmp_c+atp_c --> cdp_c+adp_c
430 CYTK1|Nucleotides_reverse::cdp_c+adp_c --> cmp_c+atp_c
431 CYTK6|Nucleotides::cmp_c+ctp_c --> 2.0*cdp_c
432 CYTK6|Nucleotides_reverse::2.0*cdp_c --> cmp_c+ctp_c
433 CYTK7|Nucleotides::utp_c+cmp_c --> cdp_c+udp_c
434 CYTK7|Nucleotides_reverse::cdp_c+udp_c --> utp_c+cmp_c
435 DADA|Nucleotides::h2o_c+dad_2_c+h_c --> nh4_c+din_c
436 DGULND|Pentose and Glucuronate Interconversions::h_c+3dhguln_c --> co2_c+xylu_L_c
437 DGULND|Pentose and Glucuronate Interconversions_reverse::co2_c+xylu_L_c --> h_c+3dhguln_c
438 DHAAt1r|Transport_ Extracellular::dhdascb_e --> dhdascb_c
439 DHAAt1r|Transport_ Extracellular_reverse::dhdascb_c --> dhdascb_e
440 DHPM1|Pyrimidine Catabolism::h2o_c+56dura_c --> h_c+cala_c
441 DHPR2|Tetrahydrobiopterin::dhbpt_c+5mthf_c --> mlthf_c+thbpt_c+h_c
442 DMGDHm|Glycine_ Serine_ and Threonine Metabolism::fad_m+h2o_m+dmgly_m --> fald_m+sarcs_m+fadh2_m
443 DMGtm|Transport_ Mitochondrial::dmgly_c --> dmgly_m
444 DMGtm|Transport_ Mitochondrial_reverse::dmgly_m --> dmgly_c
445 DOPABMO|Tyrosine metabolism::o2_c+dopa_c+ascb_L_c --> h2o_c+nrpphr_c+dhdascb_c
446 DOPAMT|Tyrosine metabolism::amet_c+dopa_c --> 3moxtyr_c+h_c+ahcys_c
447 DOPASFt|Transport_ Extracellular::dopasf_c --> dopasf_e
448 DOPASULT|Tyrosine metabolism::dopa_c+paps_c --> pap_c+dopasf_c+h_c
449 DOPAVESSEC|Transport_ Extracellular::2.0*h2o_c+3.0*dopa_c+2.0*atp_c --> 3.0*dopa_e+2.0*pi_c+2.0*h_c+2.0*adp_c
450 DPGM|Glycolysis/Gluconeogenesis::13dpg_c --> 23dpg_c+h_c
451 DPGM|Glycolysis/Gluconeogenesis_reverse::23dpg_c+h_c --> 13dpg_c
452 DPGase|Glycolysis/Gluconeogenesis::h2o_c+23dpg_c --> pi_c+3pg_c
453 DRBK|Pentose Phosphate Pathway::atp_c+drib_c --> 2dr5p_c+h_c+adp_c
454 DRPA|Pentose Phosphate Pathway::2dr5p_c --> acald_c+g3p_c
455 DURAD|Pyrimidine Catabolism::56dura_c+nadp_c --> ura_c+h_c+nadph_c
456 DURAD|Pyrimidine Catabolism_reverse::ura_c+h_c+nadph_c --> 56dura_c+nadp_c
457 ECOAH12m|Valine_ Leucine_ and Isoleucine Metabolism::h2o_m+2mp2coa_m --> 3hibutcoa_m
458 ECOAH12m|Valine_ Leucine_ and Isoleucine Metabolism_reverse::3hibutcoa_m --> h2o_m+2mp2coa_m
459 ECOAH1m|Tryptophan metabolism::3hbcoa_m --> h2o_m+b2coa_m
460 ECOAH1m|Tryptophan metabolism_reverse::h2o_m+b2coa_m --> 3hbcoa_m
461 ECOAH9m|Valine_ Leucine_ and Isoleucine Metabolism::h2o_m+2mb2coa_m --> 3hmbcoa_m
462 ECOAH9m|Valine_ Leucine_ and Isoleucine Metabolism_reverse::3hmbcoa_m --> h2o_m+2mb2coa_m
463 ENO|Glycolysis/Gluconeogenesis::2pg_c --> pep_c+h2o_c
464 ENO|Glycolysis/Gluconeogenesis_reverse::pep_c+h2o_c --> 2pg_c
465 ESTSULT|Steroid Metabolism::paps_c+estrone_c --> pap_c+h_c+estrones_c
466 ETF|Fatty acid oxidation::etfox_m+fadh2_m --> fad_m+etfrd_m
467 ETFQO|Fatty acid oxidation::etfrd_m+q10_m --> etfox_m+q10h2_m
468 FACOAL160i|Fatty acid activation::coa_c+hdca_c+atp_c --> ppi_c+pmtcoa_c+amp_c
469 FACOAL180i|Fatty acid activation::coa_c+atp_c+ocdca_c --> ppi_c+amp_c+stcoa_c
470 FACOAL181i|Fatty acid activation::ocdcea_c+coa_c+atp_c --> ppi_c+amp_c+odecoa_c
471 FACOAL1821|Fatty acid activation::coa_c+lnlc_c+atp_c --> ppi_c+amp_c+lnlccoa_c
472 FACOAL1821|Fatty acid activation_reverse::ppi_c+amp_c+lnlccoa_c --> coa_c+lnlc_c+atp_c
473 FACOAL204i|Fatty acid activation::coa_c+atp_c+arachd_c --> ppi_c+arachdcoa_c+amp_c
474 FALDH|Tyrosine metabolism::fald_c+nad_c+gthrd_c --> nadh_c+Sfglutth_c+h_c
475 FALDH|Tyrosine metabolism_reverse::nadh_c+Sfglutth_c+h_c --> fald_c+nad_c+gthrd_c
476 FALDtm|Transport_ Mitochondrial::fald_m --> fald_c
477 FALDtm|Transport_ Mitochondrial_reverse::fald_c --> fald_m
478 FAOXC160|Fatty acid oxidation::7.0*fad_m+7.0*h2o_m+7.0*coa_m+7.0*nad_m+pmtcoa_m --> 7.0*nadh_m+8.0*accoa_m+7.0*fadh2_m+7.0*h_m
479 FAOXC16080m|Fatty acid oxidation::4.0*fad_m+4.0*h2o_m+4.0*coa_m+4.0*nad_m+pmtcoa_m --> 4.0*nadh_m+4.0*accoa_m+4.0*fadh2_m+4.0*h_m+occoa_m
480 FAOXC180|Fatty acid oxidation::fad_m+h2o_m+coa_m+nad_m+stcoa_m --> nadh_m+pmtcoa_m+accoa_m+fadh2_m+h_m
481 FAOXC1811603m|Fatty acid oxidation::4.0*fad_m+5.0*h2o_m+5.0*coa_m+5.0*nad_m+odecoa_m --> 5.0*nadh_m+5.0*accoa_m+4.0*fadh2_m+5.0*h_m+occoa_m
482 FAOXC182806m|Fatty acid oxidation::3.0*fad_m+5.0*h2o_m+5.0*coa_m+5.0*nad_m+lnlccoa_m --> 5.0*nadh_m+5.0*accoa_m+3.0*fadh2_m+5.0*h_m+occoa_m
483 FAOXC204|Fatty acid oxidation::5.0*fad_m+9.0*h2o_m+arachdcoa_m+9.0*coa_m+9.0*nad_m --> 9.0*nadh_m+10.0*accoa_m+5.0*fadh2_m+9.0*h_m
484 FAOXC80|Fatty acid oxidation::3.0*fad_m+3.0*h2o_m+3.0*coa_m+3.0*nad_m+occoa_m --> 3.0*nadh_m+4.0*accoa_m+3.0*fadh2_m+3.0*h_m
485 FAS100COA|Fatty acid elongation::malcoa_c+3.0*h_c+occoa_c+2.0*nadph_c --> h2o_c+2.0*nadp_c+coa_c+dcacoa_c+co2_c
486 FAS120COA|Fatty acid elongation::malcoa_c+3.0*h_c+dcacoa_c+2.0*nadph_c --> h2o_c+2.0*nadp_c+coa_c+ddcacoa_c+co2_c
487 FAS140COA|Fatty acid elongation::malcoa_c+ddcacoa_c+3.0*h_c+2.0*nadph_c --> h2o_c+2.0*nadp_c+coa_c+tdcoa_c+co2_c
488 FAS160COA|Fatty acid elongation::malcoa_c+tdcoa_c+3.0*h_c+2.0*nadph_c --> h2o_c+2.0*nadp_c+coa_c+pmtcoa_c+co2_c
489 FAS180COA|Fatty acid elongation::malcoa_c+pmtcoa_c+3.0*h_c+2.0*nadph_c --> h2o_c+2.0*nadp_c+coa_c+stcoa_c+co2_c
490 FAS80COA_L|Fatty acid elongation::3.0*malcoa_c+accoa_c+9.0*h_c+6.0*nadph_c --> 3.0*h2o_c+6.0*nadp_c+3.0*coa_c+occoa_c+3.0*co2_c
491 FATP1t|Transport_ Extracellular::na1_c+hdca_c --> na1_e+hdca_e
492 FATP1t|Transport_ Extracellular_reverse::na1_e+hdca_e --> na1_c+hdca_c
493 FATP2t|Transport_ Extracellular::na1_c+ocdcea_c --> na1_e+ocdcea_e
494 FATP2t|Transport_ Extracellular_reverse::na1_e+ocdcea_e --> na1_c+ocdcea_c
495 FATP3t|Transport_ Extracellular::na1_c+ocdca_c --> na1_e+ocdca_e
496 FATP3t|Transport_ Extracellular_reverse::na1_e+ocdca_e --> na1_c+ocdca_c
497 FATP5t|Transport_ Extracellular::na1_c+arachd_c --> na1_e+arachd_e
498 FATP5t|Transport_ Extracellular_reverse::na1_e+arachd_e --> na1_c+arachd_c
499 FBA|Glycolysis/Gluconeogenesis::fdp_c --> dhap_c+g3p_c
500 FBA|Glycolysis/Gluconeogenesis_reverse::dhap_c+g3p_c --> fdp_c
501 FBA2|Fructose and Mannose Metabolism::f1p_c --> dhap_c+glyald_c
502 FBA2|Fructose and Mannose Metabolism_reverse::dhap_c+glyald_c --> f1p_c
503 FBP|Glycolysis/Gluconeogenesis::h2o_c+fdp_c --> f6p_c+pi_c
504 FBP26|Fructose and Mannose Metabolism::h2o_c+f26bp_c --> f6p_c+pi_c
505 FCLTm|Heme Biosynthesis::fe2_m+ppp9_m --> 2.0*h_m+pheme_m
506 FE2t|Transport_ Extracellular::fe2_e --> fe2_c
507 FE2tm|Transport_ Mitochondrial::fe2_c+h_c --> fe2_m+h_m
508 FPGS7m|Folate Metabolism::4.0*atp_m+10fthf_m+4.0*glu_L_m --> 10fthf5glu_m+4.0*pi_m+4.0*h_m+4.0*adp_m
509 FPGS8m|Folate Metabolism::atp_m+10fthf5glu_m+glu_L_m --> 10fthf6glu_m+pi_m+h_m+adp_m
510 FPGS9|Folate Metabolism::10fthf6glu_c+atp_c+glu_L_c --> pi_c+h_c+adp_c+10fthf7glu_c
511 FPGS9m|Folate Metabolism::atp_m+glu_L_m+10fthf6glu_m --> pi_m+h_m+adp_m+10fthf7glu_m
512 FRUt1r|Transport_ Extracellular::fru_e --> fru_c
513 FRUt1r|Transport_ Extracellular_reverse::fru_c --> fru_e
514 FRUt4|Transport_ Extracellular::na1_e+fru_e --> na1_c+fru_c
515 FRUt4|Transport_ Extracellular_reverse::na1_c+fru_c --> na1_e+fru_e
516 FTHFL|Folate Metabolism::for_c+thf_c+atp_c --> 10fthf_c+pi_c+adp_c
517 FTHFL|Folate Metabolism_reverse::10fthf_c+pi_c+adp_c --> for_c+thf_c+atp_c
518 FUMAC|Tyrosine metabolism::h2o_c+4fumacac_c --> h_c+fum_c+acac_c
519 FUMSO3tm|Transport_ Mitochondrial::fum_c+so3_m --> so3_c+fum_m
520 FUMSO3tm|Transport_ Mitochondrial_reverse::so3_c+fum_m --> fum_c+so3_m
521 FUMTSULtm|Transport_ Mitochondrial::fum_c+tsul_m --> fum_m+tsul_c
522 FUMTSULtm|Transport_ Mitochondrial_reverse::fum_m+tsul_c --> fum_c+tsul_m
523 FUMm|Citric Acid Cycle::h2o_m+fum_m --> mal_L_m
524 FUMm|Citric Acid Cycle_reverse::mal_L_m --> h2o_m+fum_m
525 FUMtm|Transport_ Mitochondrial::pi_m+fum_c --> pi_c+fum_m
526 FUMtm|Transport_ Mitochondrial_reverse::pi_c+fum_m --> pi_m+fum_c
527 G3PD1|Glycerophospholipid Metabolism::glyc3p_c+nad_c --> nadh_c+dhap_c+h_c
528 G3PD1|Glycerophospholipid Metabolism_reverse::nadh_c+dhap_c+h_c --> glyc3p_c+nad_c
529 G3PD2m|Glycolysis/Gluconeogenesis::fad_m+glyc3p_c --> fadh2_m+dhap_c
530 G5SADrm|Proline Metabolism::glu5sa_m --> h2o_m+1pyr5c_m+h_m
531 G5SADrm|Proline Metabolism_reverse::h2o_m+1pyr5c_m+h_m --> glu5sa_m
532 G6PDH2r|Pentose Phosphate Pathway::nadp_c+g6p_c --> 6pgl_c+h_c+nadph_c
533 G6PDH2r|Pentose Phosphate Pathway_reverse::6pgl_c+h_c+nadph_c --> nadp_c+g6p_c
534 G6PPer|Glycolysis/Gluconeogenesis::h2o_r+g6p_r --> pi_r+glc_D_r
535 G6Pter|Transport_ Endoplasmic Reticular::g6p_c --> g6p_r
536 G6Pter|Transport_ Endoplasmic Reticular_reverse::g6p_r --> g6p_c
537 GACMTRc|Urea cycle/amino group metabolism::amet_c+gudac_c --> h_c+creat_c+ahcys_c
538 GACMTRc|Urea cycle/amino group metabolism_reverse::h_c+creat_c+ahcys_c --> amet_c+gudac_c
539 GALK|Galactose metabolism::atp_c+gal_c --> gal1p_c+h_c+adp_c
540 GALT|Galactose metabolism::utp_c+gal1p_c+h_c --> udpgal_c+ppi_c
541 GALT|Galactose metabolism_reverse::udpgal_c+ppi_c --> utp_c+gal1p_c+h_c
542 GALU|Galactose metabolism::utp_c+h_c+g1p_c --> ppi_c+udpg_c
543 GALU|Galactose metabolism_reverse::ppi_c+udpg_c --> utp_c+h_c+g1p_c
544 GALt1r|Transport_ Extracellular::gal_e --> gal_c
545 GALt1r|Transport_ Extracellular_reverse::gal_c --> gal_e
546 GAPD|Glycolysis/Gluconeogenesis::nad_c+pi_c+g3p_c --> nadh_c+13dpg_c+h_c
547 GAPD|Glycolysis/Gluconeogenesis_reverse::nadh_c+13dpg_c+h_c --> nad_c+pi_c+g3p_c
548 GARFT|IMP Biosynthesis::10fthf_c+gar_c --> thf_c+fgam_c+h_c
549 GARFT|IMP Biosynthesis_reverse::thf_c+fgam_c+h_c --> 10fthf_c+gar_c
550 GGH_10FTHF5GLUl|Folate Metabolism::4.0*h2o_l+10fthf5glu_l --> 10fthf_l+4.0*glu_L_l
551 GGH_10FTHF6GLUl|Folate Metabolism::h2o_l+10fthf6glu_l --> 10fthf5glu_l+glu_L_l
552 GGH_10FTHF7GLUl|Folate Metabolism::h2o_l+10fthf7glu_l --> glu_L_l+10fthf6glu_l
553 GGLUCT|Glutathione Metabolism::gluala_e --> 5oxpro_c+ala_L_c
554 GGNG|Starch and Sucrose Metabolism::Tyr_ggn_c+8.0*udpg_c --> 8.0*udp_c+8.0*h_c+ggn_c
555 GGT5r|Eicosanoid Metabolism::h2o_r+leuktrC4_r --> glu_L_r+leuktrD4_r
556 GGT5r|Eicosanoid Metabolism_reverse::glu_L_r+leuktrD4_r --> h2o_r+leuktrC4_r
557 GGT6|Eicosanoid Metabolism::glu_L_c+leuktrE4_c --> leuktrF4_c+h2o_c
558 GGT6|Eicosanoid Metabolism_reverse::leuktrF4_c+h2o_c --> glu_L_c+leuktrE4_c
559 GHMT2r|Glycine_ Serine_ and Threonine Metabolism::ser_L_c+thf_c --> mlthf_c+h2o_c+gly_c
560 GHMT2r|Glycine_ Serine_ and Threonine Metabolism_reverse::mlthf_c+h2o_c+gly_c --> ser_L_c+thf_c
561 GK1|Nucleotides::atp_c+gmp_c --> gdp_c+adp_c
562 GK1|Nucleotides_reverse::gdp_c+adp_c --> atp_c+gmp_c
563 GLBRAN|Starch and Sucrose Metabolism::glygn1_c --> glygn2_c
564 GLCURter|Transport_ Endoplasmic Reticular::glcur_c --> glcur_r
565 GLCt1r|Transport_ Extracellular::glc_D_e --> glc_D_c
566 GLCt1r|Transport_ Extracellular_reverse::glc_D_c --> glc_D_e
567 GLCter|Transport_ Endoplasmic Reticular::glc_D_c --> glc_D_r
568 GLCter|Transport_ Endoplasmic Reticular_reverse::glc_D_r --> glc_D_c
569 GLDBRAN|Starch and Sucrose Metabolism::h2o_c+dxtrn_c --> glc_D_c+glygn3_c
570 GLGNS1|Starch and Sucrose Metabolism::ggn_c+3.0*udpg_c --> 3.0*udp_c+3.0*h_c+glygn1_c
571 GLNS|Glutamate metabolism::nh4_c+atp_c+glu_L_c --> gln_L_c+pi_c+h_c+adp_c
572 GLNtm|Transport_ Mitochondrial::gln_L_c --> gln_L_m
573 GLPASE1|Starch and Sucrose Metabolism::glygn2_c+3.0*pi_c --> dxtrn_c+3.0*g1p_c
574 GLPASE2|Starch and Sucrose Metabolism::7.0*h2o_c+glygn3_c --> Tyr_ggn_c+7.0*glc_D_c
575 GLUCYS|Glutathione Metabolism::cys_L_c+atp_c+glu_L_c --> glucys_c+pi_c+h_c+adp_c
576 GLUDC|Glutamate metabolism::h_c+glu_L_c --> 4abut_c+co2_c
577 GLUDxm|Glutamate metabolism::h2o_m+glu_L_m+nad_m --> nadh_m+nh4_m+h_m+akg_m
578 GLUDxm|Glutamate metabolism_reverse::nadh_m+nh4_m+h_m+akg_m --> h2o_m+glu_L_m+nad_m
579 GLUNm|Glutamate metabolism::h2o_m+gln_L_m --> glu_L_m+nh4_m
580 GLUPRT|IMP Biosynthesis::gln_L_c+h2o_c+prpp_c --> ppi_c+pram_c+glu_L_c
581 GLUTCOADHm|Tryptophan metabolism::fad_m+h_m+glutcoa_m --> b2coa_m+fadh2_m+co2_m
582 GLUt6|Transport_ Extracellular::3.0*na1_e+glu_L_e+h_e+k_c --> 3.0*na1_c+h_c+glu_L_c+k_e
583 GLUt7l|Transport_ Lysosomal::glu_L_l --> glu_L_c
584 GLUtr|Transport_ Endoplasmic Reticular::glu_L_c --> glu_L_r
585 GLUtr|Transport_ Endoplasmic Reticular_reverse::glu_L_r --> glu_L_c
586 GLYAMDTRc|Urea cycle/amino group metabolism::gly_c+arg_L_c --> gudac_c+orn_c
587 GLYAMDTRc|Urea cycle/amino group metabolism_reverse::gudac_c+orn_c --> gly_c+arg_L_c
588 GLYBt4_2r|Transport_ Extracellular::2.0*na1_e+glyb_e --> 2.0*na1_c+glyb_c
589 GLYBt4_2r|Transport_ Extracellular_reverse::2.0*na1_c+glyb_c --> 2.0*na1_e+glyb_e
590 GLYK|Glycerophospholipid Metabolism::glyc_c+atp_c --> glyc3p_c+h_c+adp_c
591 GLYOX|Pyruvate Metabolism::h2o_c+lgt_S_c --> lac_D_c+h_c+gthrd_c
592 GMPR|Nucleotides::2.0*h_c+gmp_c+nadph_c --> nadp_c+nh4_c+imp_c
593 GND|Pentose Phosphate Pathway::nadp_c+6pgc_c --> co2_c+nadph_c+ru5p_D_c
594 GPDDA1|Glycerophospholipid Metabolism::h2o_c+g3pc_c --> chol_c+glyc3p_c+h_c
595 GSNt|Transport_ Extracellular::gsn_e --> gsn_c
596 GSNt|Transport_ Extracellular_reverse::gsn_c --> gsn_e
597 GTHO|Glutamate metabolism::h_c+gthox_c+nadph_c --> nadp_c+2.0*gthrd_c
598 GTHOm|Glutamate metabolism::h_m+gthox_m+nadph_m --> nadp_m+2.0*gthrd_m
599 GTHP|Glutathione Metabolism::h2o2_c+2.0*gthrd_c --> 2.0*h2o_c+gthox_c
600 GTHP|Glutathione Metabolism_reverse::2.0*h2o_c+gthox_c --> h2o2_c+2.0*gthrd_c
601 GTHPe|Glutathione Metabolism::h2o2_e+2.0*gthrd_e --> 2.0*h2o_e+gthox_e
602 GTHPe|Glutathione Metabolism_reverse::2.0*h2o_e+gthox_e --> h2o2_e+2.0*gthrd_e
603 GTHPm|Glutathione Metabolism::h2o2_m+2.0*gthrd_m --> 2.0*h2o_m+gthox_m
604 GTHPm|Glutathione Metabolism_reverse::2.0*h2o_m+gthox_m --> h2o2_m+2.0*gthrd_m
605 GTHRDtr|Transport_ Endoplasmic Reticular::gthrd_c --> gthrd_r
606 GTHRDtr|Transport_ Endoplasmic Reticular_reverse::gthrd_r --> gthrd_c
607 GTHS|Glutathione Metabolism::atp_c+glucys_c+gly_c --> pi_c+h_c+adp_c+gthrd_c
608 GTMLTe|Glutathione Metabolism::ala_L_c+gthrd_c --> cgly_e+gluala_e
609 GUACYC|Nucleotides::gtp_c --> 35cgmp_c+ppi_c
610 GUAPRT|Salvage Pathway::prpp_c+gua_c --> ppi_c+gmp_c
611 GULN3D|Pentose and Glucuronate Interconversions::guln_c+nad_c --> nadh_c+h_c+3dhguln_c
612 GULN3D|Pentose and Glucuronate Interconversions_reverse::nadh_c+h_c+3dhguln_c --> guln_c+nad_c
613 GULNDer|Pentose and Glucuronate Interconversions::glcur_r+h_r+nadph_r --> nadp_r+guln_r
614 GULNDer|Pentose and Glucuronate Interconversions_reverse::nadp_r+guln_r --> glcur_r+h_r+nadph_r
615 GULNter|Transport_ Endoplasmic Reticular::guln_r --> guln_c
616 H2CO3D|Miscellaneous::h2o_c+co2_c --> h2co3_c
617 H2CO3D|Miscellaneous_reverse::h2co3_c --> h2o_c+co2_c
618 H2CO3D2|Miscellaneous::hco3_c+h_c --> h2co3_c
619 H2CO3D2|Miscellaneous_reverse::h2co3_c --> hco3_c+h_c
620 H2O2t|Transport_ Extracellular::h2o2_e --> h2o2_c
621 H2O2t|Transport_ Extracellular_reverse::h2o2_c --> h2o2_e
622 H2O2tm|Transport_ Mitochondrial::h2o2_c --> h2o2_m
623 H2O2tm|Transport_ Mitochondrial_reverse::h2o2_m --> h2o2_c
624 H2Otly|Transport_ Lysosomal::h2o_c --> h2o_l
625 H2Otly|Transport_ Lysosomal_reverse::h2o_l --> h2o_c
626 H2Otp|Transport_ Peroxisomal::h2o_c --> h2o_x
627 H2Otp|Transport_ Peroxisomal_reverse::h2o_x --> h2o_c
628 HACD1m|Tryptophan metabolism::nadh_m+h_m+aacoa_m --> nad_m+3hbcoa_m
629 HACD1m|Tryptophan metabolism_reverse::nad_m+3hbcoa_m --> nadh_m+h_m+aacoa_m
630 HACD9m|Valine_ Leucine_ and Isoleucine Metabolism::nad_m+3hmbcoa_m --> nadh_m+h_m+2maacoa_m
631 HACD9m|Valine_ Leucine_ and Isoleucine Metabolism_reverse::nadh_m+h_m+2maacoa_m --> nad_m+3hmbcoa_m
632 HCO3Em|Urea cycle/amino group metabolism::h2o_m+co2_m --> hco3_m+h_m
633 HCO3Em|Urea cycle/amino group metabolism_reverse::hco3_m+h_m --> h2o_m+co2_m
634 HCO3_CLt|Transport_ Extracellular::cl_c+hco3_e --> hco3_c+cl_e
635 HCO3_CLt|Transport_ Extracellular_reverse::hco3_c+cl_e --> cl_c+hco3_e
636 HCO3_NAt|Transport_ Extracellular::na1_e+hco3_e --> na1_c+hco3_c
